"","country","ingredients","recipe_id"
"13490","Italy","tomato",1569
"13491","Italy","olive_oil",1569
"13492","Italy","grape_juice",1569
"13493","Italy","thyme",1569
"13494","Italy","onion",1569
"13495","Italy","cucumber",1569
"13496","Italy","basil",1569
"13497","Italy","garlic",1569
"13498","Italy","bread",1569
"13499","Italy","olive_oil",1570
"13500","Italy","romano_cheese",1570
"13501","Italy","black_pepper",1570
"13502","Italy","bean",1570
"13503","Italy","garlic",1570
"13504","Italy","bell_pepper",1570
"13505","Italy","artichoke",1570
"13506","Italy","butter",1571
"13507","Italy","cane_molasses",1571
"13508","Italy","wheat",1571
"13509","Italy","bourbon_whiskey",1571
"13510","Italy","vanilla",1571
"13511","Italy","almond",1571
"13512","Italy","whiskey",1571
"13513","Italy","egg",1571
"13514","Italy","cream",1571
"13515","Italy","tomato",1572
"13516","Italy","onion",1572
"13517","Italy","lima_bean",1572
"13518","Italy","parsley",1572
"13519","Italy","pea",1572
"13520","Italy","celery",1572
"13521","Italy","carrot",1572
"13522","Italy","basil",1572
"13523","Italy","chicken",1572
"13524","Italy","cabbage",1572
"13525","Italy","parsley",1573
"13526","Italy","shrimp",1573
"13527","Italy","artichoke",1573
"13528","Italy","basil",1573
"13529","Italy","white_wine",1573
"13530","Italy","bread",1573
"13531","Italy","olive_oil",1574
"13532","Italy","pepper",1574
"13533","Italy","grape_juice",1574
"13534","Italy","parsley",1574
"13535","Italy","garlic",1574
"13536","Italy","oregano",1574
"13537","Italy","basil",1574
"13538","Italy","butter",1575
"13539","Italy","pepper",1575
"13540","Italy","wheat",1575
"13541","Italy","onion",1575
"13542","Italy","tarragon",1575
"13543","Italy","parmesan_cheese",1575
"13544","Italy","white_wine",1575
"13545","Italy","garlic",1575
"13546","Italy","tomato",1576
"13547","Italy","olive_oil",1576
"13548","Italy","pepper",1576
"13549","Italy","grape_juice",1576
"13550","Italy","mozzarella_cheese",1576
"13551","Italy","onion",1576
"13552","Italy","basil",1576
"13553","Italy","garlic",1576
"13554","Italy","olive",1576
"13555","Italy","bread",1576
"13556","Italy","tomato",1577
"13557","Italy","olive_oil",1577
"13558","Italy","grape_juice",1577
"13559","Italy","goat_cheese",1577
"13560","Italy","bell_pepper",1577
"13561","Italy","basil",1577
"13562","Italy","bread",1577
"13563","Italy","wheat",1578
"13564","Italy","squid",1578
"13565","Italy","black_pepper",1578
"13566","Italy","buttermilk",1578
"13567","Italy","oregano",1578
"13568","Italy","vegetable_oil",1578
"13569","Italy","wheat",1579
"13570","Italy","egg",1579
"13571","Italy","vanilla",1579
"13572","Italy","honey",1579
"13573","Italy","vegetable_oil",1579
"13574","Italy","lemon_peel",1579
"13575","Italy","turkey",1580
"13576","Italy","tomato",1580
"13577","Italy","mushroom",1580
"13578","Italy","onion",1580
"13579","Italy","olive_oil",1580
"13580","Italy","egg",1580
"13581","Italy","cottage_cheese",1580
"13582","Italy","mozzarella_cheese",1580
"13583","Italy","carrot",1580
"13584","Italy","garlic",1580
"13585","Italy","oregano",1580
"13586","Italy","vegetable",1580
"13587","Italy","macaroni",1580
"13588","Italy","rosemary",1580
"13589","Italy","basil",1580
"13590","Italy","tomato",1581
"13591","Italy","cilantro",1581
"13592","Italy","corn_grit",1581
"13593","Italy","black_pepper",1581
"13594","Italy","bean",1581
"13595","Italy","fennel",1581
"13596","Italy","carrot",1581
"13597","Italy","garlic",1581
"13598","Italy","beef_broth",1581
"13599","Italy","pork_sausage",1581
"13600","Italy","zucchini",1581
"13601","Italy","tomato",1582
"13602","Italy","olive_oil",1582
"13603","Italy","onion",1582
"13604","Italy","beef",1582
"13605","Italy","romano_cheese",1582
"13606","Italy","black_pepper",1582
"13607","Italy","nut",1582
"13608","Italy","raisin",1582
"13609","Italy","parsley",1582
"13610","Italy","garlic",1582
"13611","Italy","basil",1582
"13612","Italy","bread",1582
"13613","Italy","butter",1583
"13614","Italy","tomato",1583
"13615","Italy","pepper",1583
"13616","Italy","onion",1583
"13617","Italy","vinegar",1583
"13618","Italy","black_pepper",1583
"13619","Italy","cane_molasses",1583
"13620","Italy","parmesan_cheese",1583
"13621","Italy","celery",1583
"13622","Italy","fennel",1583
"13623","Italy","garlic",1583
"13624","Italy","oregano",1583
"13625","Italy","basil",1583
"13626","Italy","tamarind",1583
"13627","Italy","egg",1583
"13628","Italy","banana",1583
"13629","Italy","pork_sausage",1583
"13630","Italy","bread",1583
"13631","Italy","butter",1584
"13632","Italy","wheat",1584
"13633","Italy","milk",1584
"13634","Italy","yeast",1584
"13635","Italy","olive_oil",1585
"13636","Italy","wheat",1585
"13637","Italy","yeast",1585
"13638","Italy","garlic",1585
"13639","Italy","oregano",1585
"13640","Italy","basil",1585
"13641","Italy","wheat",1586
"13642","Italy","yeast",1586
"13643","Italy","butter",1587
"13644","Italy","olive_oil",1587
"13645","Italy","garlic",1587
"13646","Italy","black_pepper",1587
"13647","Italy","cream",1587
"13648","Italy","cane_molasses",1588
"13649","Italy","coffee",1588
"13650","Italy","wheat",1588
"13651","Italy","raisin",1588
"13652","Italy","ginger",1588
"13653","Italy","fennel",1588
"13654","Italy","pecan",1588
"13655","Italy","cinnamon",1588
"13656","Italy","nutmeg",1588
"13657","Italy","egg",1588
"13658","Italy","pork_sausage",1588
"13659","Italy","vegetable_oil",1589
"13660","Italy","vanilla",1589
"13661","Italy","wheat",1589
"13662","Italy","egg",1589
"13663","Italy","cheese",1589
"13664","Italy","provolone_cheese",1590
"13665","Italy","olive_oil",1590
"13666","Italy","pepper",1590
"13667","Italy","wheat",1590
"13668","Italy","ham",1590
"13669","Italy","mushroom",1590
"13670","Italy","asparagus",1590
"13671","Italy","chicken_broth",1590
"13672","Italy","red_wine",1590
"13673","Italy","onion",1590
"13674","Italy","veal",1590
"13675","Italy","bell_pepper",1590
"13676","Italy","garlic",1590
"13677","Italy","egg",1590
"13678","Italy","milk",1590
"13679","Italy","bread",1590
"13680","Italy","vinegar",1591
"13681","Italy","thyme",1591
"13682","Italy","bay",1591
"13683","Italy","fennel",1591
"13684","Italy","olive",1591
"13685","Italy","rosemary",1591
"13686","Italy","tomato",1592
"13687","Italy","olive_oil",1592
"13688","Italy","mushroom",1592
"13689","Italy","onion",1592
"13690","Italy","thyme",1592
"13691","Italy","yeast",1592
"13692","Italy","black_pepper",1592
"13693","Italy","basil",1592
"13694","Italy","garlic",1592
"13695","Italy","oregano",1592
"13696","Italy","blue_cheese",1592
"13697","Italy","mozzarella_cheese",1592
"13698","Italy","wheat",1592
"13699","Italy","chicken",1592
"13700","Italy","rosemary",1592
"13701","Italy","butter",1593
"13702","Italy","wheat",1593
"13703","Italy","black_pepper",1593
"13704","Italy","almond",1593
"13705","Italy","raisin",1593
"13706","Italy","fig",1593
"13707","Italy","lard",1593
"13708","Italy","egg",1593
"13709","Italy","milk",1593
"13710","Italy","cinnamon",1593
"13711","Italy","tomato",1594
"13712","Italy","olive_oil",1594
"13713","Italy","onion",1594
"13714","Italy","feta_cheese",1594
"13715","Italy","corn",1594
"13716","Italy","cayenne",1594
"13717","Italy","cured_pork",1594
"13718","Italy","basil",1594
"13719","Italy","fennel",1594
"13720","Italy","garlic",1594
"13721","Italy","bell_pepper",1594
"13722","Italy","olive",1594
"13723","Italy","pork_sausage",1594
"13724","Italy","cream",1594
"13725","Italy","tomato",1595
"13726","Italy","basil",1595
"13727","Italy","garlic",1595
"13728","Italy","olive_oil",1595
"13729","Italy","tomato",1596
"13730","Italy","olive_oil",1596
"13731","Italy","pepper",1596
"13732","Italy","wheat",1596
"13733","Italy","cheese",1596
"13734","Italy","shallot",1596
"13735","Italy","chicken_broth",1596
"13736","Italy","bacon",1596
"13737","Italy","parsley",1596
"13738","Italy","cured_pork",1596
"13739","Italy","garlic",1596
"13740","Italy","sherry",1596
"13741","Italy","chicken",1596
"13742","Italy","wine",1596
"13743","Italy","egg",1596
"13744","Italy","cream",1596
"13745","Italy","turkey",1597
"13746","Italy","olive_oil",1597
"13747","Italy","green_bell_pepper",1597
"13748","Italy","onion",1597
"13749","Italy","squash",1597
"13750","Italy","parmesan_cheese",1597
"13751","Italy","tomato",1597
"13752","Italy","macaroni",1597
"13753","Italy","bell_pepper",1597
"13754","Italy","basil",1597
